old iri,new iri
http://www.ontologyrepository.com/CommonCoreOntologies/SequencePositionOrdinality,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000044
http://www.ontologyrepository.com/CommonCoreOntologies/SpatialRegionIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000045
http://www.ontologyrepository.com/CommonCoreOntologies/SpatialReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000046
http://www.ontologyrepository.com/CommonCoreOntologies/ReliabilityMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000047
http://www.ontologyrepository.com/CommonCoreOntologies/LunarCalendarSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000048
http://www.ontologyrepository.com/CommonCoreOntologies/GeospatialCoordinateReferenceSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000049
http://www.ontologyrepository.com/CommonCoreOntologies/PointEstimateInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000050
http://www.ontologyrepository.com/CommonCoreOntologies/PredictiveInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000051
http://www.ontologyrepository.com/CommonCoreOntologies/Acronym,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000052
http://www.ontologyrepository.com/CommonCoreOntologies/DiminutiveName,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000053
http://www.ontologyrepository.com/CommonCoreOntologies/EstimateInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000054
http://www.ontologyrepository.com/CommonCoreOntologies/AbbreviatedName,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000055
http://www.ontologyrepository.com/CommonCoreOntologies/EventStatusNominalInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000056
http://www.ontologyrepository.com/CommonCoreOntologies/CartesianCoordinateSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000057
http://www.ontologyrepository.com/CommonCoreOntologies/HourIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000058
http://www.ontologyrepository.com/CommonCoreOntologies/MeanPointEstimateInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000059
http://www.ontologyrepository.com/CommonCoreOntologies/InformationQualityEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000060
http://www.ontologyrepository.com/CommonCoreOntologies/SphericalCoordinateSystem,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000061
http://www.ontologyrepository.com/CommonCoreOntologies/RatioMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000062
http://www.ontologyrepository.com/CommonCoreOntologies/ModePointEstimateInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000063
http://www.ontologyrepository.com/CommonCoreOntologies/TemporalIntervalIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000064
http://www.ontologyrepository.com/CommonCoreOntologies/ProportionalRatioMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000065
http://www.ontologyrepository.com/CommonCoreOntologies/LegalName,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000066
http://www.ontologyrepository.com/CommonCoreOntologies/TimeZoneIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000067
http://www.ontologyrepository.com/CommonCoreOntologies/PriorityMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000068
http://www.ontologyrepository.com/CommonCoreOntologies/DecimalDateIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000069
http://www.ontologyrepository.com/CommonCoreOntologies/MultiMinuteTemporalIntervalIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000070
http://www.ontologyrepository.com/CommonCoreOntologies/OrdinalMeasurementInformationContentEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000071
http://www.ontologyrepository.com/CommonCoreOntologies/DecadeIdentifier,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000072
http://www.ontologyrepository.com/CommonCoreOntologies/ProperName,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000073
http://www.ontologyrepository.com/CommonCoreOntologies/InformationBearingEntity,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000074
http://www.ontologyrepository.com/CommonCoreOntologies/PriorityScale,http://www.ontologyrepository.com/CommonCoreOntologies/CCO_0000075
