old,new
http://www.ontologyrepository.com/CommonCoreOntologies/definition,http://www.w3.org/2004/02/skos/core#definition
http://www.ontologyrepository.com/CommonCoreOntologies/alternative_label,http://www.w3.org/2004/02/skos/core#altLabel
