old-iri,new-iri
http://www.ontologyrepository.com/CommonCoreOntologies/TelephoneLine,https://www.commoncoreontologies.org/ont00000059
http://www.ontologyrepository.com/CommonCoreOntologies/OpenPitMine,https://www.commoncoreontologies.org/ont00000060
http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfFlow,https://www.commoncoreontologies.org/ont00000061
http://www.ontologyrepository.com/CommonCoreOntologies/FrequencyMeasurementArtifactFunction,https://www.commoncoreontologies.org/ont00000062
http://www.ontologyrepository.com/CommonCoreOntologies/MultiHourTemporalInterval,https://www.commoncoreontologies.org/ont00000063
http://www.ontologyrepository.com/CommonCoreOntologies/Book,https://www.commoncoreontologies.org/ont00000064
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfLocationChange,https://www.commoncoreontologies.org/ont00000065
http://www.ontologyrepository.com/CommonCoreOntologies/MilitaryArtifactFunction,https://www.commoncoreontologies.org/ont00000066
http://www.ontologyrepository.com/CommonCoreOntologies/CivilTimeReferenceSystem,https://www.commoncoreontologies.org/ont00000067
http://www.ontologyrepository.com/CommonCoreOntologies/ThreeDimensionalPath,https://www.commoncoreontologies.org/ont00000068
http://www.ontologyrepository.com/CommonCoreOntologies/Transcript,https://www.commoncoreontologies.org/ont00000069
http://www.ontologyrepository.com/CommonCoreOntologies/GroundTrackPoint,https://www.commoncoreontologies.org/ont00000070
http://www.ontologyrepository.com/CommonCoreOntologies/Town,https://www.commoncoreontologies.org/ont00000071
http://www.ontologyrepository.com/CommonCoreOntologies/LowDensityResidentialArea,https://www.commoncoreontologies.org/ont00000072
http://www.ontologyrepository.com/CommonCoreOntologies/TemporalIntervalIdentifier,https://www.commoncoreontologies.org/ont00000073
http://www.ontologyrepository.com/CommonCoreOntologies/MeasurementUnitOfAcceleration,https://www.commoncoreontologies.org/ont00000074
http://www.ontologyrepository.com/CommonCoreOntologies/OpticalMicroscope,https://www.commoncoreontologies.org/ont00000075
http://www.ontologyrepository.com/CommonCoreOntologies/WiredCommunicationArtifactFunction,https://www.commoncoreontologies.org/ont00000076
http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier,https://www.commoncoreontologies.org/ont00000077
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfEstimation,https://www.commoncoreontologies.org/ont00000078
http://www.ontologyrepository.com/CommonCoreOntologies/ActOfSocialMovement,https://www.commoncoreontologies.org/ont00000079
http://www.ontologyrepository.com/CommonCoreOntologies/StandardTimeOfDayIdentifier,https://www.commoncoreontologies.org/ont00000080
http://www.ontologyrepository.com/CommonCoreOntologies/CuttingWeapon,https://www.commoncoreontologies.org/ont00000081
http://www.ontologyrepository.com/CommonCoreOntologies/Green,https://www.commoncoreontologies.org/ont00000082
http://www.ontologyrepository.com/CommonCoreOntologies/ProcessEnding,https://www.commoncoreontologies.org/ont00000083
http://www.ontologyrepository.com/CommonCoreOntologies/BodilyComponent,https://www.commoncoreontologies.org/ont00000084
http://www.ontologyrepository.com/CommonCoreOntologies/Minute,https://www.commoncoreontologies.org/ont00000085
http://www.ontologyrepository.com/CommonCoreOntologies/AutopilotSystem,https://www.commoncoreontologies.org/ont00000086
http://www.ontologyrepository.com/CommonCoreOntologies/OrdinalDateIdentifier,https://www.commoncoreontologies.org/ont00000087
http://www.ontologyrepository.com/CommonCoreOntologies/Firearm,https://www.commoncoreontologies.org/ont00000088
http://www.ontologyrepository.com/CommonCoreOntologies/Skill,https://www.commoncoreontologies.org/ont00000089
http://www.ontologyrepository.com/CommonCoreOntologies/InfraredTelescope,https://www.commoncoreontologies.org/ont00000090
http://www.ontologyrepository.com/CommonCoreOntologies/PortionOfCoolant,https://www.commoncoreontologies.org/ont00000091
http://www.ontologyrepository.com/CommonCoreOntologies/BidirectionalTransducer,https://www.commoncoreontologies.org/ont00000092
http://www.ontologyrepository.com/CommonCoreOntologies/PreferredStock,https://www.commoncoreontologies.org/ont00000093
