IRI Reserved,Reserved by,Date reserved,Associated Issue
https://www.commoncoreontologies.org/ont00000061,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000062,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000063,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000064,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000065,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000066,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000067,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000068,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000069,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000070,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000071,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000072,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000073,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000074,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000075,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000076,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000077,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000078,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000079,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000080,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000081,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000082,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000083,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000084,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000085,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000086,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000087,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000088,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000089,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000090,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000091,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000092,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000093,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000094,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000095,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000096,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000097,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000098,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000099,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000100,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000101,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000102,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000103,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000104,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000105,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000106,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000107,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000108,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000109,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000110,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000111,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000112,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000113,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000114,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000115,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000116,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000117,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000118,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000119,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000120,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000121,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000122,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000123,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000124,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000125,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000126,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000127,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000128,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000129,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000130,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000131,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000132,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000133,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000134,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000135,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000136,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000137,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000138,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000139,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
https://www.commoncoreontologies.org/ont00000140,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/543
