IRI Reserved,Reserved by,Date reserved,Associated Issue
https://www.commoncoreontologies.org/ont00000048,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/590
https://www.commoncoreontologies.org/ont00000049,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/591
https://www.commoncoreontologies.org/ont00000050,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/592
https://www.commoncoreontologies.org/ont00000051,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/593
https://www.commoncoreontologies.org/ont00000052,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/594
https://www.commoncoreontologies.org/ont00000053,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/595
https://www.commoncoreontologies.org/ont00000054,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/596
https://www.commoncoreontologies.org/ont00000055,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/597
https://www.commoncoreontologies.org/ont00000056,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/598
https://www.commoncoreontologies.org/ont00000057,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/599
https://www.commoncoreontologies.org/ont00000058,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/600
https://www.commoncoreontologies.org/ont00000059,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/601
https://www.commoncoreontologies.org/ont00000060,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/602
https://www.commoncoreontologies.org/ont00000061,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/603
https://www.commoncoreontologies.org/ont00000062,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/604
https://www.commoncoreontologies.org/ont00000063,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/605
https://www.commoncoreontologies.org/ont00000064,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/606
https://www.commoncoreontologies.org/ont00000065,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/607
https://www.commoncoreontologies.org/ont00000066,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/608
https://www.commoncoreontologies.org/ont00000067,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/609
https://www.commoncoreontologies.org/ont00000068,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/610
https://www.commoncoreontologies.org/ont00000069,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/611
https://www.commoncoreontologies.org/ont00000070,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/612
https://www.commoncoreontologies.org/ont00000071,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/613
https://www.commoncoreontologies.org/ont00000072,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/614
https://www.commoncoreontologies.org/ont00000073,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/615
https://www.commoncoreontologies.org/ont00000074,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/616
https://www.commoncoreontologies.org/ont00000075,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/617
https://www.commoncoreontologies.org/ont00000076,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/618
https://www.commoncoreontologies.org/ont00000077,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/619
https://www.commoncoreontologies.org/ont00000078,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/620
https://www.commoncoreontologies.org/ont00000079,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/621
https://www.commoncoreontologies.org/ont00000080,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/622
https://www.commoncoreontologies.org/ont00000081,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/623
https://www.commoncoreontologies.org/ont00000082,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/624
https://www.commoncoreontologies.org/ont00000083,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/625
https://www.commoncoreontologies.org/ont00000084,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/626
https://www.commoncoreontologies.org/ont00000085,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/627
https://www.commoncoreontologies.org/ont00000086,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/628
https://www.commoncoreontologies.org/ont00000087,Mark Jensen,11/6/24,https://github.com/CommonCoreOntology/CommonCoreOntologies/issues/629
