Kind,Label,CCO IRI,QUDT IRI
Individual,Kilogram Meter Square Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilogramMeterSquareMeasurementUnit,
Individual,Kilogram-Mole Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilogramMoleMeasurementUnit,
Individual,Kilogram Per Cubic Meter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilogramPerCubicMeterMeasurementUnit,
Individual,Kilogram Per Liter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilogramPerLiterMeasurementUnit,
Individual,Kilogram Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilogramPerSecondMeasurementUnit,
Individual,Kilohertz Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilohertzMeasurementUnit,
Individual,Kiloliter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KiloliterMeasurementUnit,
Individual,Kilometer Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilometerMeasurementUnit,
Individual,Kilometers Per Hour Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilometersPerHourMeasurementUnit,
Individual,Kilometers Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilometersPerSecondMeasurementUnit,
Individual,Kilometers Per Second Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilometersPerSecondPerSecondMeasurementUnit,
Individual,Kilomole Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilomoleMeasurementUnit,
Individual,Kilonewton Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilonewtonMeasurementUnit,
Individual,Kilopond Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilopondMeasurementUnit,
Individual,Kilovolt Ampere Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KilovoltAmpereMeasurementUnit,
Individual,Knot Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/KnotMeasurementUnit,
Individual,Liter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/LiterMeasurementUnit,
Individual,Liter Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/LiterPerSecondMeasurementUnit,
Individual,Long Ton Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/LongTonMeasurementUnit,
Individual,Mach Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MachMeasurementUnit,
Individual,Megahertz Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MegahertzMeasurementUnit,
Individual,Meter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MeterMeasurementUnit,
Individual,Meters Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MetersPerSecondMeasurementUnit,
Individual,Meters Per Second Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MetersPerSecondPerSecondMeasurementUnit,
Individual,Metric Ton Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MetricTonMeasurementUnit,
Individual,Mile Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MileMeasurementUnit,
Individual,Miles Per Hour Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MilesPerHourMeasurementUnit,
Individual,Miles Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MilesPerSecondMeasurementUnit,
Individual,Miles Per Second Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MilesPerSecondPerSecondMeasurementUnit,
Individual,Milliampere Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MilliampereMeasurementUnit,
Individual,Millibar Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MillibarMeasurementUnit,
Individual,Milligram Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MilligramMeasurementUnit,
Individual,Milliliter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MilliliterMeasurementUnit,
Individual,Millimeter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MillimeterMeasurementUnit,
Individual,Minute Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MinuteMeasurementUnit,
Individual,Minute of Arc Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MinuteOfArcMeasurementUnit,
Individual,Mole Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MoleMeasurementUnit,
Individual,Month Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/MonthMeasurementUnit,
Individual,Nanometer Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/NanometerMeasurementUnit,
Individual,Nautical Mile Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/NauticalMileMeasurementUnit,
Individual,Newton Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/NewtonMeasurementUnit,
Individual,Newton Meter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/NewtonMeterMeasurementUnit,
Individual,Newton Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/NewtonSecondMeasurementUnit,
Individual,Newton Second Per Kilogram Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/NewtonSecondPerKilogramMeasurementUnit,
Individual,Ounce Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/OunceMeasurementUnit,
Individual,Pascal Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PascalMeasurementUnit,
Individual,Phon Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PhonMeasurementUnit,
Individual,Pint Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PintMeasurementUnit,
Individual,Pound Foot Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundFootMeasurementUnit,
Individual,Pound Foot Second Square Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundFootSecondSquareMeasurementUnit,
Individual,Pound Force Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundForceMeasurementUnit,
Individual,Pound Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundMeasurementUnit,
Individual,Pound-Mole Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundMoleMeasurementUnit,
Individual,Pound Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundPerSecondMeasurementUnit,
Individual,Pounds Per Square Inch Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/PoundsPerSquareInchMeasurementUnit,
Individual,Quartic Meter Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/QuarticMeterMeasurementUnit,
Individual,Quart Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/QuartMeasurementUnit,
Individual,Radian Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/RadianMeasurementUnit,
Individual,Revolutions Per Day Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/RevolutionsPerDayMeasurementUnit,
Individual,Revolutions Per Minute Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/RevolutionsPerMinuteMeasurementUnit,
Individual,Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SecondMeasurementUnit,
Individual,Second of Arc Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SecondOfArcMeasurementUnit,
Individual,Shaft Horsepower Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/ShaftHorsepowerMeasurementUnit,
Individual,Short Ton Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/ShortTonMeasurementUnit,
Individual,Slug Foot Per Second Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SlugFootPerSecondMeasurementUnit,
Individual,Slug Measurement Unit,http://www.ontologyrepository.com/CommonCoreOntologies/SlugMeasurementUnit,
